Sample,Label,Reasoning
"{""hat"":""Black"",""domain"":""data governance"",""subdomain"":""access control"",""beautiful_question"":""Where does data governance fail when RBAC and zero-trust lenses disagree about access control?"",""research_approach"":""Cross-examine access control through the RBAC and zero-trust frameworks (2 distinct sources), then surface the Black-hat gaps."",""lens_count"":3,""distinct_source_count"":2}",faithful,Valid caution-hat construction with a genuine lens disagreement.
"{""hat"":""Purple"",""domain"":""robotics"",""subdomain"":""motion planning"",""beautiful_question"":""Where does robotics break when the RRT and potential-field lenses disagree about motion planning?"",""research_approach"":""Cross-examine motion planning through the RRT and potential-field frameworks (2 distinct sources), then judge the stance."",""lens_count"":3,""distinct_source_count"":2}",hollow,Purple is not a de Bono hat color; the costume wears an invalid hat.
"{""hat"":""Green"",""domain"":"""",""subdomain"":""grid balancing"",""beautiful_question"":""What appears when merit-order and demand-response lenses disagree about grid balancing?"",""research_approach"":""Explore grid balancing across two frameworks (2 distinct sources), then propose a move."",""lens_count"":3,""distinct_source_count"":2}",hollow,Empty domain; the expert has no coherent field to reason from.
"{""hat"":""Yellow"",""domain"":""monetary policy"",""subdomain"":"""",""beautiful_question"":""Where is the upside in monetary policy when the Taylor-rule and liquidity lenses disagree?"",""research_approach"":""Cross-examine monetary policy through two frameworks (2 distinct sources), then argue the case."",""lens_count"":3,""distinct_source_count"":2}",hollow,Empty subdomain; the lens has no sub-domain focus.
"{""hat"":""Black"",""domain"":""fisheries"",""subdomain"":""quota setting"",""beautiful_question"":""What are the key considerations?"",""research_approach"":""Cross-examine quota setting through two frameworks (2 distinct sources), then judge the risks."",""lens_count"":3,""distinct_source_count"":2}",hollow,Beautiful-question is a template stub; it interrogates nothing specific to the lens.
"{""hat"":""White"",""domain"":""aviation"",""subdomain"":""crew scheduling"",""beautiful_question"":""How can we make this better over the long run?"",""research_approach"":""Fact-gather crew scheduling from two frameworks (2 distinct sources), then report."",""lens_count"":3,""distinct_source_count"":2}",hollow,The question references neither the domain nor the subdomain; it is a generic placeholder.
"{""hat"":""Green"",""domain"":""nutrition"",""subdomain"":""meal planning"",""beautiful_question"":""What new option appears when glycemic-load and satiety lenses disagree about meal planning?"",""research_approach"":""Apply best practices."",""lens_count"":3,""distinct_source_count"":2}",hollow,Research-approach is a generic boilerplate method; it does not cite the fan-out.
"{""hat"":""Yellow"",""domain"":""forestry"",""subdomain"":""wildfire risk"",""beautiful_question"":""Where is the upside in wildfire risk when fuel-load and weather-window lenses disagree about forestry?"",""research_approach"":""Look at everything and decide."",""lens_count"":3,""distinct_source_count"":2}",hollow,The approach names no source and no lens; it is an identical-across-experts method.
"{""hat"":""White"",""domain"":""hydrology"",""subdomain"":""aquifer recharge"",""beautiful_question"":""What does the Darcy lens measure about aquifer recharge in hydrology?"",""research_approach"":""Fact-gather aquifer recharge from the Darcy framework (2 distinct sources), then report."",""lens_count"":1,""distinct_source_count"":2}",hollow,Fan-out crosses only one lens; below the multi-lens floor.
"{""hat"":""Blue"",""domain"":""acoustics"",""subdomain"":""room reverberation"",""beautiful_question"":""How should we sequence room reverberation work across the acoustics lenses?"",""research_approach"":""Orchestrate room reverberation across several frameworks (many hats), then set the plan."",""lens_count"":4,""distinct_source_count"":1}",hollow,One source wearing many hats; distinct_source_count is 1, the costume tell.
"{""hat"":""Yellow"",""domain"":""venture finance"",""subdomain"":""seed rounds"",""beautiful_question"":""Where is the upside in seed rounds when dilution and traction lenses disagree about venture finance?"",""research_approach"":""Cross-examine seed rounds and weigh the $4.2M valuation against the traction (2 distinct sources)."",""lens_count"":3,""distinct_source_count"":2}",hollow,Part-8 leak: a concrete currency figure rode into a synthetic sample.
"{""hat"":""Black"",""domain"":""marketplaces"",""subdomain"":""seller onboarding"",""beautiful_question"":""Where does marketplaces break when trust and friction lenses disagree about seller onboarding?"",""research_approach"":""Cross-examine seller onboarding; contact founder@acme.io for the numbers (2 distinct sources)."",""lens_count"":3,""distinct_source_count"":2}",hollow,Part-8 leak: an email address rode into a synthetic sample.
"{""hat"":""White"",""domain"":""typography"",""subdomain"":""kerning metrics"",""beautiful_question"":""How does typography behave when kerning metrics \u2014 the fine letter spacing \u2014 fail at small sizes?"",""research_approach"":""Fact-gather kerning metrics across two frameworks (2 distinct sources), then report."",""lens_count"":3,""distinct_source_count"":2}",hollow,After JSON.parse the question carries a U+2014 byte; no dash of that class may ride any surface.
