Sample,Label,Reasoning
"{""hat"":""White"",""domain"":""materials science"",""prompt"":""Will it hold?"",""response"":""The data lens reports the expert-graph Paris-law node: the crack growth rate stays under the threshold at this load."",""in_lens"":true,""grounded"":true,""off_role"":false}",faithful,White-hat data faithful to the Paris-law node.
"{""hat"":""Black"",""domain"":""data governance"",""prompt"":""Grant the access?"",""response"":""The caution lens reads the expert-graph access-control node and flags a role over-grant, so I would deny until scoped."",""in_lens"":true,""grounded"":true,""off_role"":false}",faithful,Caution-hat call grounded in the access-control node.
"{""hat"":""Black"",""domain"":""regulatory strategy"",""prompt"":""Should we file?"",""response"":""Setting the regulation aside, here is my personal take on which vacation spot the team should pick this summer."",""in_lens"":false,""grounded"":true,""off_role"":false}",costume,Out-of-lens drift; the response abandons the caution-hat regulatory lens entirely.
"{""hat"":""Yellow"",""domain"":""supply chain resilience"",""prompt"":""Dual-source?"",""response"":""Let me switch to writing the marketing copy for the launch instead of the supplier question."",""in_lens"":false,""grounded"":true,""off_role"":false}",costume,Out-of-lens drift; the upside lens wanders off its domain.
"{""hat"":""Green"",""domain"":""pedagogy"",""prompt"":""Lift retention?"",""response"":""I will just describe my weekend plans rather than reason about the teaching problem."",""in_lens"":false,""grounded"":true,""off_role"":false}",costume,Out-of-lens drift; the creative lens leaves the pedagogy domain.
"{""hat"":""White"",""domain"":""urban mobility"",""prompt"":""Bottleneck?"",""response"":""The depot is definitely the worst spot in the whole city, trust me, no node needed."",""in_lens"":true,""grounded"":false,""off_role"":false}",costume,Ungrounded; the claim ignores the expert-graph and asserts from nowhere.
"{""hat"":""Black"",""domain"":""cybersecurity"",""prompt"":""Exposed?"",""response"":""I am sure we are totally safe, I just have a good feeling about it, skip the graph."",""in_lens"":true,""grounded"":false,""off_role"":false}",costume,Ungrounded; the caution lens invents a claim untethered from the STRIDE node.
"{""hat"":""Yellow"",""domain"":""product strategy"",""prompt"":""Raise price?"",""response"":""Sure, raise it a lot, no reason, the graph is irrelevant here."",""in_lens"":true,""grounded"":false,""off_role"":false}",costume,Ungrounded; the upside claim discards the pricing node it should cite.
"{""hat"":""Blue"",""domain"":""climate adaptation"",""prompt"":""What is the plan?"",""response"":""Actually let me answer a legal question about your lease agreement instead."",""in_lens"":true,""grounded"":true,""off_role"":true}",costume,Off-role; the process lens answers a question outside its remit.
"{""hat"":""Red"",""domain"":""behavioral economics"",""prompt"":""Gut check?"",""response"":""I will now give you medical diagnosis advice, which is not my role at all."",""in_lens"":true,""grounded"":true,""off_role"":true}",costume,Off-role; the feeling lens answers outside its expert remit.
"{""hat"":""Yellow"",""domain"":""product strategy"",""prompt"":""Pricing view?"",""response"":""The pricing node supports a raise; for context the account is worth $4.2M in annual revenue."",""in_lens"":true,""grounded"":true,""off_role"":false}",costume,Part-8 leak; a concrete currency figure rode into a synthetic transcript.
"{""hat"":""Black"",""domain"":""data governance"",""prompt"":""Access?"",""response"":""Deny the grant; if you disagree email the owner at admin@acme.io to escalate."",""in_lens"":true,""grounded"":true,""off_role"":false}",costume,Part-8 leak; an email address rode into a synthetic transcript.
"{""hat"":""White"",""domain"":""public health"",""prompt"":""Scale?"",""response"":""The cold-chain node shows wastage; note the program reaches 50 million people this year."",""in_lens"":true,""grounded"":true,""off_role"":false}",costume,Part-8 leak; a concrete venture magnitude rode into a synthetic transcript.
"{""hat"":""White"",""domain"":""materials science"",""prompt"":""Hold?"",""response"":""The Paris-law node reads safe \u2014 well within the threshold \u2014 at this load."",""in_lens"":true,""grounded"":true,""off_role"":false}",costume,After JSON.parse the response carries a U+2014 byte; no dash of that class may ride any surface.
