Sample,Label,Reasoning
"{""candidate_set"":[{""kind"":""assumption"",""confidence"":0.3,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","miscalibrated","threshold tell: a 0.30 candidate below 0.70 is pre-checked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.95,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.8,""descriptor"":""assumption node-id + phase-id enum""},{""kind"":""opportunity"",""confidence"":0.55,""descriptor"":""opportunity node-id handle only""},{""kind"":""decision"",""confidence"":0.2,""descriptor"":""decision node-id + framework-tier enum""}],""pre_checked_indices"":[2,3]}","miscalibrated","confidence-order tell: the 0.55 and 0.20 tail are pre-checked, the two >=0.70 load-bearing candidates left unchecked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.71,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.69,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[1]}","miscalibrated","threshold-boundary tell: the 0.69 (below 0.70) is pre-checked while the 0.71 is left unchecked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.85,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.72,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.6,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[]}","miscalibrated","count-mismatch tell: two >=0.70 load-bearing candidates exist but the pre-check set is empty."
"{""candidate_set"":[{""kind"":""opportunity"",""confidence"":0.9,""descriptor"":""opportunity node-id handle only""},{""kind"":""assumption"",""confidence"":0.45,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0,1]}","miscalibrated","threshold tell: the 0.45 assumption is pre-checked alongside the 0.90, inflating the confirm basket below the 0.70 line."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.78,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.74,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""assumption"",""confidence"":0.3,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[2]}","miscalibrated","confidence-order tell: the 0.30 assumption is pre-checked, both >=0.70 candidates left unchecked."
"{""candidate_set"":[{""kind"":""assumption"",""confidence"":0.2,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","miscalibrated","threshold tell: a lone 0.20 candidate far below 0.70 is pre-checked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.92,""descriptor"":""claim node-id handle only""},{""kind"":""assumption"",""confidence"":0.35,""descriptor"":""assumption node-id + phase-id enum""},{""kind"":""opportunity"",""confidence"":0.34,""descriptor"":""opportunity node-id handle only""}],""pre_checked_indices"":[1,2]}","miscalibrated","confidence-order tell: the two ~0.34 tail candidates are pre-checked while the dominant 0.92 claim is left unchecked."
"{""candidate_set"":[{""kind"":""claim"",""confidence"":0.88,""descriptor"":""claim node-id handle only""},{""kind"":""decision"",""confidence"":0.83,""descriptor"":""decision node-id + framework-tier enum""},{""kind"":""opportunity"",""confidence"":0.4,""descriptor"":""opportunity node-id handle only""},{""kind"":""assumption"",""confidence"":0.15,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[3]}","miscalibrated","confidence-order tell: the lowest 0.15 candidate is pre-checked, both >=0.70 candidates left unchecked."
"{""candidate_set"":[{""kind"":""opportunity"",""confidence"":0.6,""descriptor"":""opportunity node-id handle only""},{""kind"":""assumption"",""confidence"":0.55,""descriptor"":""assumption node-id + phase-id enum""}],""pre_checked_indices"":[0]}","miscalibrated","count-mismatch tell: no candidate reaches 0.70 yet one is pre-checked, so the split ignores the threshold entirely."
